,A01060101_sj,A01060102_sj,A01060103_sj,A01060104_sj,A01060105_sj,A01060106_sj,A01060107_sj,A01060108_sj,A01060109_sj,A0106010A_sj,A0106010B_sj,A0106010C_sj,A0106010D_sj,A0106010E_sj,A0106010F_sj,A0106010G_sj,A0106010H_sj
202303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202212,99.7,100.3,100.1,100.1,100.0,100.4,100.2,100.5,100.4,100.1,99.9,99.8,101.2,100.0,100.0,95.9,99.9
202211,99.9,99.4,100.2,100.3,100.0,98.8,99.5,99.5,99.0,99.4,100.0,100.3,102.8,100.0,100.0,101.4,100.1
202210,100.1,100.0,100.3,100.3,100.2,100.1,100.1,100.5,100.6,100.1,100.1,100.3,101.7,100.0,100.2,99.3,100.1
202209,100.3,101.5,100.0,100.9,100.1,99.7,100.9,99.9,99.8,99.9,100.0,100.8,99.0,100.0,100.7,99.3,100.1
202208,99.6,100.4,100.0,99.7,99.8,99.7,100.3,100.0,99.7,99.8,100.0,100.5,101.9,100.1,100.4,96.5,99.8
202207,100.1,102.2,100.1,99.6,100.0,100.7,100.3,99.8,100.0,100.2,100.1,99.9,96.1,100.0,99.4,97.4,100.0
202206,100.2,98.8,100.2,99.9,99.9,99.2,99.9,100.5,99.9,99.6,100.0,99.7,99.5,100.1,100.4,104.5,100.2
202205,99.9,99.0,100.1,100.4,100.0,99.9,99.8,100.7,100.5,99.6,100.2,101.1,100.2,100.1,100.5,100.4,99.8
202204,100.4,100.8,100.2,99.8,100.0,100.1,100.2,100.8,100.8,99.9,100.0,102.1,98.6,100.1,99.8,101.8,100.1
202203,100.6,99.0,100.3,100.4,100.1,99.9,100.3,100.6,99.9,100.1,100.0,100.3,104.3,100.1,99.9,105.9,100.0
202202,100.8,101.3,100.2,99.6,99.9,100.7,100.5,100.3,100.9,99.9,100.1,101.3,102.2,100.0,100.6,104.2,100.0
202201,100.3,101.3,99.9,99.4,99.9,99.8,98.8,99.3,99.6,100.2,100.1,98.6,101.0,100.0,100.3,101.7,99.9
202112,99.5,99.7,100.1,100.1,100.1,100.5,100.6,100.4,100.0,100.0,99.9,100.3,97.9,99.9,99.9,95.9,100.1
202111,100.4,101.6,100.4,100.2,100.3,99.8,99.1,98.9,100.2,99.8,100.6,98.8,101.5,99.6,100.2,101.8,100.5
202110,101.0,101.3,100.2,100.3,100.3,100.0,100.9,100.3,100.1,100.0,100.2,100.9,98.8,100.1,100.0,105.7,101.1
202109,100.1,99.5,99.9,101.0,99.9,100.1,100.5,100.3,100.0,100.1,100.0,99.1,100.7,100.0,100.5,100.8,100.4
202108,100.0,100.6,100.1,99.9,100.0,99.9,99.4,99.2,100.0,100.0,100.1,101.5,97.7,100.0,100.0,99.5,100.2
202107,100.3,99.8,100.3,99.6,99.9,100.6,100.8,101.1,100.1,100.1,100.3,99.5,97.4,100.1,100.3,102.6,100.1
202106,99.8,98.4,100.2,99.7,100.0,99.9,99.6,100.0,100.0,99.8,100.1,99.4,101.0,100.1,100.1,101.6,100.1
202105,100.0,98.9,100.1,100.4,100.1,100.3,100.1,99.8,100.2,99.9,100.2,99.1,101.8,100.0,99.6,101.5,100.3
202104,99.7,98.3,100.2,100.0,100.2,100.4,100.5,99.8,99.9,100.0,100.0,100.9,102.1,100.0,100.1,99.5,100.3
202103,99.9,97.2,100.5,100.4,100.1,100.4,100.4,99.9,100.2,100.0,100.3,99.7,97.1,100.0,100.2,104.2,100.4
202102,100.5,101.5,99.8,99.5,100.1,99.9,100.0,99.9,100.2,100.3,100.4,98.9,98.1,100.0,100.0,102.4,100.1
202101,101.0,103.2,100.0,99.6,100.1,100.3,100.0,100.3,100.2,100.1,100.1,99.5,101.2,99.9,100.0,103.6,100.0
202012,100.9,102.4,100.1,100.0,100.1,100.1,100.1,100.1,100.1,100.2,100.0,100.1,98.7,100.0,100.1,103.5,100.2
202011,99.6,98.1,100.2,100.4,99.9,99.8,100.0,100.0,100.1,100.3,100.1,99.9,98.9,100.1,100.1,100.3,100.1
202010,99.6,98.5,100.3,100.4,100.0,100.2,100.2,100.0,100.1,100.0,100.3,100.1,97.9,100.1,100.1,99.2,100.2
202009,100.05703332,100.38958406,99.93815074,100.98491838,100.06405185,99.9770366,99.94101255,99.84859278,100.06516812,99.97037629,99.8522663,100.15879901,96.67150957,100.00448801,100.13856497,99.58462276,99.99697608
202008,100.50075924,101.17389268,100.10144818,99.80939178,99.89148794,99.92644907,99.95296106,99.96788679,99.95902981,100.02001296,100.05831364,100.11738288,108.28545745,100.11872624,100.06903309,100.41157835,100.01815701
202007,100.62162486,102.29622939,100.13325003,99.46242282,99.96401836,99.98756186,99.79805224,100.00531673,99.91373211,99.76401623,100.05964602,100.10960153,102.81765509,100.02181067,100.03567989,101.16164921,99.93478837
202006,99.92487562,100.13508782,100.06785646,99.72305564,99.81909349,99.48206763,99.87624088,99.9324889,99.87329701,99.57776435,99.85020504,99.93708077,101.37394655,99.92098357,100.29016567,99.94297271,99.95124826
