,A01030101_sj,A01030102_sj,A01030103_sj,A01030104_sj,A01030105_sj,A01030106_sj,A01030107_sj,A01030108_sj,A01030109_sj
202303,99.7,99.1,100.5,100.0,99.5,99.6,99.9,100.1,100.8
202302,99.5,98.7,99.9,100.1,100.0,99.5,99.2,100.2,99.7
202301,100.8,102.0,99.5,100.0,100.0,100.2,101.3,100.3,101.1
202212,100.0,100.4,100.1,99.9,100.3,98.6,100.1,100.0,100.4
202211,99.8,99.5,100.3,100.0,99.7,100.1,99.6,100.0,99.9
202210,100.1,100.2,100.3,99.9,100.3,99.6,100.2,100.0,100.4
202209,100.3,101.3,100.8,99.9,100.0,99.4,100.4,100.0,99.7
202208,99.9,100.4,99.8,100.0,100.0,98.3,100.1,100.1,100.3
202207,100.5,101.9,99.6,100.0,100.3,99.3,100.5,100.0,99.3
202206,100.0,99.0,99.9,100.0,99.8,102.2,100.1,100.0,100.1
202205,99.8,99.1,100.4,99.9,100.2,100.1,100.1,100.1,100.6
202204,100.4,100.7,99.8,99.9,100.6,101.1,100.1,100.1,100.0
202203,100.0,99.1,100.4,100.1,100.2,101.6,99.7,100.1,101.0
202202,100.6,101.2,99.7,100.1,100.2,101.4,100.4,100.0,100.1
202201,100.4,101.1,99.5,100.0,99.9,101.1,100.2,100.1,100.9
202112,99.7,99.7,100.1,99.9,100.3,98.7,100.0,100.0,99.9
202111,100.4,101.6,100.3,100.0,99.6,100.3,99.5,100.0,99.5
202110,100.7,101.2,100.3,100.4,100.3,101.0,100.2,100.2,100.1
202109,100.0,99.6,100.8,100.2,99.9,99.8,100.7,100.0,100.3
202108,100.1,100.5,99.9,100.1,100.1,99.4,100.0,100.0,99.1
202107,100.3,99.8,99.6,100.2,100.4,101.5,101.0,100.1,100.2
202106,99.6,98.6,99.8,100.1,99.8,100.1,99.8,100.0,100.1
202105,99.8,99.0,100.3,100.1,99.9,100.4,100.3,100.0,100.6
202104,99.7,98.5,100.0,100.1,100.3,100.4,100.7,100.1,100.4
202103,99.5,97.6,100.4,100.2,99.9,101.3,99.6,100.0,99.2
202102,100.6,101.2,99.5,100.1,100.1,101.1,100.8,100.0,99.7
202101,101.0,102.8,99.6,100.1,100.2,100.9,100.4,100.1,100.5
