,A040102_sj,A040104_sj,A040106_sj,A040108_sj,A04010A_sj
202303,5.1,0.6,0.5,8.7,3.6
202302,5.5,0.8,1.5,10.1,3.8
202301,0.0,0.0,0.0,0.0,0.0
202212,5.1,0.9,0.2,10.3,3.0
202211,5.3,1.1,0.7,10.1,3.2
202210,5.8,1.6,1.4,10.8,3.7
202209,5.9,2.0,1.6,11.0,3.9
202208,5.8,2.3,2.3,10.4,3.9
202207,5.7,2.7,2.4,10.4,3.7
202206,6.1,3.5,4.0,10.9,4.0
202205,6.2,4.1,5.8,11.0,4.1
202204,6.8,5.3,5.8,12.6,4.3
202203,9.3,8.4,6.8,16.1,6.4
202202,12.2,11.4,8.8,19.6,9.5
202201,0.0,0.0,0.0,0.0,0.0
202112,4.9,7.0,9.1,11.3,2.1
202111,5.2,7.7,9.3,11.1,2.5
202110,6.1,8.5,11.1,11.3,3.7
202109,7.3,9.8,14.0,12.2,5.0
202108,8.9,11.5,18.1,12.9,6.8
202107,10.3,13.4376958462,21.8,14.4,8.2
202106,12.6,15.3672578395,21.3,16.3,10.7
202105,15.4,18.0838663005,28.7,18.1,13.8
202104,19.9,21.035140677,35.5,21.7,18.7
202103,25.6,25.9944616222,45.9,27.8,24.1
202102,35.0,36.4,61.3,34.1,34.6
202101,0.0,0.0,0.0,0.0,0.0
202012,2.9,0.9733804072,19.5,0.1,3.6
202011,2.6,0.2124052281,18.2,-0.7,3.5
202010,1.8,-0.7,17.3,-2.1,3.0
202009,0.8,-1.5250652244,14.5,-3.4,2.3
202008,-0.3,-2.8167565445,11.5,-4.8,1.4
202007,-1.6,-5.7473645172,7.7,-7.4,0.8
202006,-3.1,-7.2632587191,3.8,-8.3,-1.0
202005,-6.3,-9.6303343141,0.0,-11.8,-3.9
202004,-10.3,-13.3381130811,-5.4,-16.0,-7.8
202003,-16.1,-18.7998406995,-13.8,-21.9,-13.5
202002,-24.5,-26.4186240015,-25.6,-28.2,-23.0
202001,0.0,0.0,0.0,0.0,0.0
201912,5.4,4.7,0.6,3.2,6.5
201911,5.2,4.5,-0.1,2.4,6.7
201910,5.2,4.4,-2.4,2.3,6.8
201909,5.4,4.7,-2.1,2.0,7.2
201908,5.5,4.9,-3.4,2.1,7.3
201907,5.7,5.4156900144,-1.2,3.4,7.0
201906,5.8,5.7256903787,-0.6,2.9,7.4
201905,5.6,5.2568248879,-2.3,3.2,7.1
201904,6.1,5.5084868168,-0.1,2.8,7.9
201903,6.3,6.4335201108,3.0,4.2,7.5
201902,6.1,7.5,3.7,5.5,6.5
201901,0.0,0.0,0.0,0.0,0.0
201812,5.9,8.7315672449,12.9,6.2,5.5
201811,5.9,8.7226582687,12.2,6.2,5.6
201810,5.7,8.8,13.4,5.8,5.4
201809,5.4,8.7390435554,11.7,5.2,5.3
201808,5.3,8.7,14.2,4.3,5.5
201807,5.5,8.8,13.7,3.9,6.0
201806,6.0,8.438071935,13.5,3.8,6.8
201805,6.1,8.115118281,15.2,2.5,7.7
201804,7.0,8.373389662,16.8,2.5,9.3
201803,7.5,8.875407471,24.2,2.0,10.0
201802,7.9,8.1,27.8,2.4,10.2
201801,0.0,0.0,0.0,0.0,0.0
201712,7.2,5.984287929,11.8,3.2,9.5
201711,7.2,5.650954454,11.4,2.6,10.1
201710,7.3,5.8,13.1,2.7,10.0
201709,7.5,6.021061948,11.8,2.6,10.5
201708,7.8,6.441412054,12.2,3.2,10.6
201707,8.3,6.864785972,14.4,3.4,11.3
201706,8.6,7.205314483,16.5,4.0,11.3
201705,8.6,6.825916254,16.9,3.6,11.6
201704,8.9,6.868946643,19.1,3.5,12.1
201703,9.2,7.7,19.8,4.2,12.2
201702,8.9,6.650720183,19.1,2.9,12.2
201701,0.0,0.0,0.0,0.0,0.0
201612,8.1,3.2,21.1,3.5,10.9
201611,8.3,3.1,21.9,3.3,11.3
201610,8.3,2.9,22.0,2.9,11.5
201609,8.19999999999999,2.5,21.8,3.3,11.1
201608,8.1,2.1,21.5,3.0,11.2
201607,8.1,2.1,20.6,3.5,10.8
201606,9.0,2.8,21.1,4.4,11.7
201605,9.6,3.9,20.6,5.8,11.9
201604,10.5,5.2,21.7,7.3,12.4
201603,10.7,5.7,25.5,7.3,12.6
201602,10.2,6.9,34.3,7.9,11.1
201601,0.0,0.0,0.0,0.0,0.0
201512,10.0,10.1,31.8,8.0,10.6
201511,10.2,10.2,28.7,8.1,11.0
201510,10.2,10.2,28.1,8.0,11.0
201509,10.3,10.4,27.4,8.0,11.2
201508,10.9,11.0,28.5,8.5,11.9
201507,11.2,11.3,28.2,9.0,12.1
201506,11.4,11.4,27.8,9.3,12.4
201505,11.4,12.1,27.8,9.6,12.1
201504,12.0,12.7,26.4,9.8,13.2
201503,13.5,13.6,32.8,11.0,14.7
201502,13.9,14.7,36.3,11.5,14.8
201501,0.0,0.0,0.0,0.0,0.0
201412,15.7,18.1,33.9,13.2,16.8
201411,15.8,17.9,29.9,13.3,17.1
201410,15.9,18.0,28.9,13.4,17.4
201409,16.1,18.3,27.7,13.7,17.4
201408,16.5,19.0,26.3,13.7,18.2
201407,17.0,19.6,25.1,13.9,19.2
201406,17.3,20.1,24.1,14.3,19.5
201405,17.2,19.9,20.8,14.0,19.5
201404,17.3,20.4,21.2,14.5,19.2
201403,17.6,20.9,25.8,14.7,19.6
201402,17.9,21.5,20.9,13.7,20.8
201401,0.0,0.0,0.0,0.0,0.0
201312,19.6,23.1,32.5,17.4,21.0
201311,19.9,23.2,31.7,17.3,21.5
201310,20.1,23.4,30.6,17.6,21.6
201309,20.2,23.3,31.1,17.1,22.3
201308,20.3,23.3,32.0,16.6,23.0
201307,20.1,23.3,32.8,16.0,23.1
201306,20.1,23.4,33.5,15.6,23.5
201305,20.4,23.8,31.1,15.7,23.9
201304,20.6,23.9,32.1,16.3,23.9
201303,20.9,24.1,31.4,16.2,24.5
201302,21.2,24.6,37.4,15.6,25.0
201301,0.0,0.0,0.0,0.0,0.0
201212,20.6480891534052,24.8,32.1909834856682,20.1533244985523,20.5668327909532
201211,20.7378287996128,25.0,30.5,21.1,20.4
201210,20.7478650996204,25.2,32.3,21.9,20.1
201209,20.547109944363,25.1,32.2,22.4,19.4
201208,20.2476767987189,25.1,31.5,22.6,17.8
201207,20.4495867115777,25.5,28.8,23.4,17.7
201206,20.446948427458,25.8,28.6046240466376,23.749643742848,17.4251126264702
201205,20.1491263263067,26.7,37.1459011812604,23.9260217283159,16.4407608077797
201204,20.2419881849978,27.3,40.6656585279796,24.2187713695025,16.4082622917804
201203,20.9,28.9,35.8,24.6,17.6
201202,21.4665648583982,0.0,43.9,24.9,18.5
201201,0.0,0.0,0.0,0.0,0.0
201112,23.8,0.0,25.0,27.3,21.1
201111,24.5,0.0,28.8,27.0,22.4
201110,24.9,0.0,28.2,26.9,23.3
201109,24.9,0.0,25.5,26.9,23.4
201108,25.0,0.0,23.0,27.0,23.6
201107,25.4,0.0,22.8,26.7,24.5
201106,25.6,0.0,20.6,27.1,24.7
201105,25.8,0.0,15.6,26.3,25.9
201104,25.4,0.0,12.6,24.6,26.5
201103,25.0,0.0,10.8,24.8,25.6
201102,24.9,0.0,6.9,24.7,25.6
201101,0.0,0.0,0.0,0.0,0.0
201012,24.5,0.0,18.2,23.2,25.6
201011,24.9,0.0,16.6,22.7,26.9
201010,24.4,0.0,17.2,22.3,26.4
201009,24.5,0.0,17.7,22.0,26.7
201008,24.8,0.0,18.6,22.2,27.0
201007,24.9,0.0,18.9,22.1,27.4
201006,25.5,0.0,17.8,22.3,28.4
201005,25.9,0.0,16.1,22.4,28.8
201004,26.1,0.0,16.5,21.7,29.7
201003,26.4,0.0,9.7,22.4,30.0
201002,26.6,0.0,8.9,21.0,30.9
201001,0.0,0.0,0.0,0.0,0.0
200912,30.5,0.0,49.9,26.8,33.0
200911,32.1,0.0,51.5,26.1,36.6
200910,33.1,0.0,54.1,26.8,37.8
200909,33.3,0.0,54.8,26.9,38.1
200908,33.0,0.0,60.4,27.0,37.3
200907,32.9,0.0,62.5,27.8,36.5
200906,33.6,0.0,68.9,29.0,36.6
200905,32.9,0.0,79.7,29.1,34.9
200904,30.5,0.0,82.1,27.8,31.6
200903,28.6,0.0,85.0,26.8,29.1
200902,26.5,0.0,100.3,24.8,26.9
200901,0.0,0.0,0.0,0.0,0.0
200812,26.1,0.0,54.5,28.0,24.1
200811,26.8,0.0,57.4,29.5,24.1
200810,27.2,0.0,61.8,30.0,24.3
200809,27.6,0.0,62.8,30.2,24.8
200808,27.4,0.0,63.5,28.8,25.5
200807,27.3,0.0,61.9,27.9,26.0
200806,26.8,0.0,69.5,26.6,26.2
200805,25.6,0.0,66.1,25.6,25.0
200804,25.7,0.0,71.6,25.9,24.9
200803,25.9,0.0,80.8,25.9,25.3
200802,24.3,0.0,77.0,26.1,22.6
200801,0.0,0.0,0.0,0.0,0.0
200712,25.8,0.0,31.1,29.0,23.2
200711,26.8,0.0,37.6,29.7,24.4
200710,26.9,0.0,39.9,29.6,24.7
200709,26.4,0.0,41.1,29.3,24.0
200708,26.7,0.0,42.9,29.5,24.3
200707,26.6,0.0,46.2,28.9,24.5
200706,26.7,0.0,37.5,29.0,24.6
200705,25.9,0.0,35.8,28.9,23.5
200704,25.5,0.0,29.2,27.4,24.0
200703,25.3,0.0,20.3,27.0,24.0
200702,23.4,0.0,24.8,21.0,25.1
200701,0.0,0.0,0.0,0.0,0.0
200612,24.5,0.0,30.7,25.9,23.3
200611,26.6,0.0,36.8,26.9,26.2
