,A0C0102_sj,A0C0103_sj
202303,62341.0,0.5
202302,45642.0,-1.2
202301,0.0,0.0
202212,203703.0,0.6
202211,185518.0,-3.0
202210,173397.0,-4.5
202209,153151.0,-6.6
202208,138043.0,-8.0
202207,124981.0,-9.2
202206,105221.0,-10.2
202205,86739.0,-10.1
202204,74293.0,-4.8
202203,62037.0,8.6
202202,46203.0,10.5
202201,0.0,0.0
202112,202539.0,10.7
202111,191252.0,12.8
202110,181526.0,14.5
202109,164020.0,16.3
202108,150088.0,18.4
202107,137716.0,20.0
202106,117116.0,21.8
202105,96454.0,24.2
202104,78008.0,25.5
202103,57115.0,24.2
202102,41805.39,18.7
202101,0.0,0.0
202012,182895.0,-3.9
202011,169489.0,-5.3
202010,158533.0,-5.5
202009,141002.0,-6.4
202008,126768.0,-7.5
202007,114725.0,-8.7
202006,96176.0,-10.8
202005,77672.0,-13.6
202004,62132.87,-14.5
202003,45984.0,-14.3
202002,35232.0,-9.9
202001,0.0,0.0
201912,190382.0,3.8
201911,178967.0,3.8
201910,167704.0,3.8
201909,150678.0,3.3
201908,137061.0,3.2
201907,125623.0,3.1
201906,107846.0,3.4
201905,89919.0,3.8
201904,72651.0,5.3
201903,53656.0,6.2
201902,39104.0,7.0
201901,0.0,0.0
201812,183352.0,6.2
201811,172332.68,6.5
201810,161557.93,7.44557638247337
201809,145831.32,8.72475655880277
201808,132868.2,9.4
201807,121791.35,10.0
201806,104330.68,10.623837824
201805,86650.46,12.199598984
201804,69019.34,12.857746699
201803,50546.41,13.6
201802,36553.41,15.8
201801,0.0,0.0
201712,172567.0,7.4
201711,161747.9,8.4
201710,150362.6,9.2
201709,134128.9,9.71187493348975
201708,121414.94,9.762537991
201707,110762.46,10.01120449
201706,94305.95,9.820065993
201705,77223.58,10.0347871633743
201704,61150.18,11.8
201703,44365.98,14.1
201702,31453.5,14.9
201701,0.0,0.0
201612,0.0,0.0
201611,148250.0,5.7
201610,136759.13,5.9
201609,121399.95,5.9
201608,110178.05,6.0
201607,100284.0,6.5
201606,85513.84,7.05606902158577
201605,69879.77,8.3
201604,54418.96,8.6
201603,38896.04,6.5
201602,27384.84,6.3
201601,0.0,0.0
201512,152217.0,8.4
201511,139934.95,8.0
201510,128847.57,7.7
201509,114412.49,7.6
201508,103520.63,7.4
201507,93849.3,7.5
201506,79599.94,6.6
201505,64265.0,5.0
201504,49909.21,5.1
201503,36407.12,3.9
201502,25716.5,3.2
201501,0.0,0.0
