,A0E0101_sj,A0E0103_sj,A0E0104_sj,A0E0105_sj,A0E0106_sj,A0E0102_sj,A0E0107_sj
202303,5.3,5.1,5.6,19.6,4.3,5.5,48.7
202302,5.6,5.4,5.9,18.1,4.8,5.7,47.9
202301,5.5,5.4,5.6,17.3,4.7,5.8,47.9
202212,5.5,5.4,5.7,16.7,4.8,6.1,47.9
202211,5.7,5.5,6.2,17.1,5.0,6.7,47.7
202210,5.5,5.4,5.7,17.9,4.7,6.0,47.9
202209,5.5,5.4,5.6,17.9,4.7,5.8,47.8
202208,5.3,5.3,5.3,18.7,4.3,5.4,48.0
202207,5.4,5.3,5.5,19.9,4.3,5.6,48.0
202206,5.5,5.3,5.8,19.3,4.5,5.8,47.7
202205,5.9,5.5,6.6,18.4,5.1,6.9,47.2
202204,6.1,5.7,6.9,18.2,5.3,6.7,46.2
202203,5.8,5.6,6.3,16.0,5.2,6.0,47.3
202202,5.5,5.5,5.6,15.3,4.8,5.4,46.7
202201,5.3,5.4,5.1,15.3,4.6,5.4,47.5
202112,5.1,5.1,4.9,14.3,4.4,5.1,0.0
202111,5.0,5.1,4.8,14.3,4.3,5.1,0.0
202110,4.9,4.9,4.8,14.2,4.2,5.1,0.0
202109,4.9,5.0,4.8,14.6,4.2,5.0,0.0
202108,5.1,5.2,5.0,15.3,4.3,5.3,0.0
202107,5.1,5.1,5.0,16.2,4.2,5.2,0.0
202106,5.0,5.0,5.1,15.4,4.2,5.2,0.0
202105,5.0,5.1,5.0,13.8,4.4,5.2,0.0
202104,5.1,5.1,5.1,13.6,4.6,5.2,0.0
202103,5.3,5.3,5.4,13.6,4.8,5.3,0.0
202102,5.5,5.7,5.2,13.1,5.0,5.5,0.0
202101,5.4,5.6,5.1,12.7,4.9,5.4,0.0
202012,5.2,0.0,0.0,12.3,4.7,5.1,0.0
202011,5.2,0.0,0.0,12.8,4.7,5.2,0.0
202010,5.3,0.0,0.0,13.2,4.8,5.3,0.0
202009,5.4,0.0,0.0,15.0,4.8,5.5,0.0
202008,5.6,0.0,0.0,16.8,4.8,5.7,0.0
202007,5.7,0.0,0.0,16.8,5.0,5.8,0.0
202006,5.7,0.0,0.0,15.4,5.2,5.8,0.0
202005,5.9,0.0,0.0,14.8,5.4,5.9,0.0
202004,6.0,0.0,0.0,13.8,5.5,5.8,0.0
202003,5.9,0.0,0.0,13.3,5.4,5.7,0.0
202002,6.2,0.0,0.0,13.6,5.6,5.7,0.0
202001,5.3,0.0,0.0,12.5,4.7,5.2,0.0
201912,5.2,0.0,0.0,12.2,4.7,5.2,0.0
201911,5.1,0.0,0.0,12.5,4.6,5.1,0.0
201910,5.1,0.0,0.0,12.4,4.6,5.1,0.0
201909,5.2,0.0,0.0,13.0,4.6,5.2,0.0
201908,5.2,0.0,0.0,13.1,4.5,5.2,0.0
201907,5.3,0.0,0.0,13.9,4.6,5.2,0.0
201906,5.1,0.0,0.0,11.6,4.6,5.0,0.0
201905,5.0,0.0,0.0,10.5,4.5,5.0,0.0
201904,5.0,0.0,0.0,9.9,4.7,5.0,0.0
201903,5.2,0.0,0.0,11.3,4.8,5.1,0.0
201902,5.3,0.0,0.0,11.0,4.9,5.0,0.0
