,A030201_sj,A030202_sj,A030203_sj
2022,6.77,7.37,-0.6
2021,7.52,7.18,0.34
2020,8.52,7.07,1.45
2019,10.41,7.09,3.32
2018,10.86,7.08,3.78
2017,12.64,7.06,5.58
2016,13.57,7.04,6.53
2015,11.99,7.07,4.93
2014,13.83,7.12,6.71
2013,13.03,7.13,5.9
2012,14.57,7.13,7.43
2011,13.27,7.14,6.13
2010,11.9,7.11,4.79
2009,11.95,7.08,4.87
2008,12.14,7.06,5.08
2007,12.1,6.93,5.17
2006,12.09,6.81,5.28
2005,12.4,6.51,5.89
2004,12.29,6.42,5.87
2003,12.41,6.4,6.01
2002,12.86,6.41,6.45
2001,13.38,6.43,6.95
2000,14.03,6.45,7.58
1999,14.64,6.46,8.18
1998,15.64,6.5,9.14
1997,16.57,6.51,10.06
1996,16.98,6.56,10.42
1995,17.12,6.57,10.55
1994,17.7,6.49,11.21
1993,18.09,6.64,11.45
1992,18.24,6.64,11.6
1991,19.68,6.7,12.98
1990,21.06,6.67,14.39
1989,21.58,6.54,15.04
1988,22.37,6.64,15.73
1987,23.33,6.72,16.61
1986,22.43,6.86,15.57
1985,21.04,6.78,14.26
1984,19.9,6.82,13.08
1983,20.19,6.9,13.29
1982,22.28,6.6,15.68
1981,20.91,6.36,14.55
1980,18.21,6.34,11.87
1979,17.82,6.21,11.61
1978,18.25,6.25,12.0
1977,19.03,6.91,12.12
1976,20.01,7.29,12.72
1975,23.13,7.36,15.77
1974,24.95,7.38,17.57
1973,28.07,7.08,20.99
1972,29.92,7.65,22.27
1971,30.74,7.34,23.4
1970,33.59,7.64,25.95
1969,34.25,8.06,26.19
1968,35.75,8.25,27.5
1967,34.12,8.47,25.65
1966,35.21,8.87,26.34
1965,38.0,9.5,28.5
1964,39.34,11.56,27.78
1963,43.6,10.1,33.5
1962,37.22,10.08,27.14
1961,18.13,14.33,3.8
1960,20.86,25.43,-4.57
1959,24.78,14.59,10.19
1958,29.22,11.98,17.24
1957,34.03,10.8,23.23
1956,31.9,11.4,20.5
1955,32.6,12.28,20.32
1954,37.97,13.18,24.79
1953,37.0,14.0,23.0
1952,37.0,17.0,20.0
1951,37.8,17.8,20.0
1950,37.0,18.0,19.0
1949,36.0,20.0,16.0
