,A0A0101_sj,A0A0102_sj,A0A0103_sj,A0A0104_sj,A0A0105_sj,A0A0106_sj,A0A0107_sj,A0A0108_sj,A0A0109_sj,A0A010A_sj,A0A010B_sj,A0A010C_sj
2022,36883.2835519823,2.94117647058825,31370.0,4.65418449346514,20590.3056232283,4.89545060678658,6174.50048494476,4.78255199577708,3226.52820493384,4.91034673708866,6891.94923887545,5.53446339457571
2021,35128.1,8.1,29975.0,8.8,19629.4,9.55491340255715,5892.7,11.0404686890623,3075.5,10.1742039471544,6530.5,5.78848882936254
2020,32188.8398923915,2.1,27540.0,3.8,17917.3707416228,4.3,5306.78595792026,1.1,2791.49736491419,6.6,6173.18582793424,8.7
2019,30732.8475578418,5.8,26523.0,9.0,17186.2197946147,8.6,5247.2775274924,8.1,2619.0594439373,10.1,5680.2907917973,9.9
2018,28228.0485997323,6.5,24336.0,8.6,15829.0484831384,8.3,4852.430019795,7.8,2378.5195935495,12.9,5168.050503249,8.9
2017,25973.7874873775,7.3,22408.0,7.3,14620.2765895914,8.7,4501.8478313339,6.7,2107.3508413252,11.6,4744.3122251268,11.4
2016,23820.975412,6.3,20883.0,8.3,13455.184145,8.0,4217.713849,6.6,1888.986723,8.6,4259.090695,11.7
2015,21966.1852468626,7.4,19281.0,9.7,12459.0481115354,9.1,3955.6370946207,6.0,1739.5753148506,9.6,3811.9247258559,11.2
2014,20167.1236487158,8.0,17570.0,12.4,11421.0,9.7,3732.0,8.7,1588.0,11.6,3427.0,12.6
2013,18310.757,8.1,15632.0,0.0,10411.0,11.0,3435.0,8.3,1423.0,15.6,3042.0,11.5
2012,16509.547528435,10.6,0.0,0.0,9379.0,12.8,3172.0,11.5,1231.0,17.5,2727.0,16.3
2011,14550.7487815862,10.3,0.0,0.0,8313.0,13.6,2846.0,18.5,1047.0,34.5,2344.0,16.1
2010,12519.5051368432,10.4,0.0,0.0,7320.0,12.9,2402.0,11.5,778.0,32.2,2019.0,15.1
2009,10977.497691,11.0,0.0,0.0,6481.0,11.0,2154.0,3.5,589.0,21.6,1754.0,13.2
2008,9956.5132369,9.5,0.0,0.0,5841.0,11.8,2082.0,21.7,484.0,20.5,1550.0,24.2
2007,8583.5353003,13.3,0.0,0.0,5222.0,18.0,1711.0,13.2,402.0,54.8,1248.0,21.0
2006,7228.8202529,11.5,0.0,0.0,4426.0,14.7,1511.0,7.2,260.0,34.7,1032.0,11.8
2005,6384.7253749,10.8,0.0,0.0,3859.0,11.8,1410.0,10.4,193.0,27.7,923.0,18.1
2004,5660.9038718,8.8,0.0,0.0,3452.0,12.8,1277.0,13.8,151.0,27.2,781.0,10.8
2003,5006.6946099,9.2,0.0,0.0,3061.0,13.5,1122.0,5.2,119.0,41.5,705.0,3.2
2002,4531.6458745,12.2,0.0,0.0,2698.0,19.7,1067.0,2.8,84.0,-10.9,683.0,-0.1
2001,4070.3766211,8.6,0.0,0.0,2255.0,10.5,1038.0,1.9,94.0,11.8,683.0,18.1
2000,3721.3350376,6.4,0.0,0.0,2040.0,7.3,1019.0,0.7,84.0,18.1,578.0,15.6
1999,3485.0,8.6,0.0,0.0,1901.0,9.3,1011.0,-1.8,71.0,5.6,501.0,20.1
1998,3254.0,6.9,0.0,0.0,1740.0,0.0,1030.0,0.0,67.0,0.0,417.0,0.0
1997,3070.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,2814.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,2363.347504,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,1870.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,1385.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,1125.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,976.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,903.899349,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,804.0,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,709.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,599.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,541.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,478.56965,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,424.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,365.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,326.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,279.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,246.837753,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,207.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,171.171536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
