,A0A0H01_sj,A0A0H02_sj,A0A0H03_sj
2022,30.4872906929388,29.4771654602819,32.9806665375964
2021,29.8,28.6,32.7
2020,30.2,29.2,32.7
2019,28.2,27.6,30.0
2018,28.4,27.7,30.1
2017,29.3,28.6,31.2
2016,30.1,29.3,32.2
2015,30.6,29.7,33.0
2014,31.0,30.0,33.6
2013,31.2,30.1,34.1
2012,33.0,32.0,35.9
2011,33.6,32.3,37.1
2010,33.4,31.9,37.9
2009,34.3,32.9,38.0
2008,36.3,34.5,40.9
2007,35.6,33.6,40.5
2006,35.5,33.3,40.7
2005,37.3,34.5,43.3
2004,38.8,35.8,45.3
2003,38.1,35.5,43.9
2002,39.2,36.4,44.9
2001,40.5,37.0,46.7
2000,42.2,38.6,48.3
1999,45.5,41.3,52.0
1998,48.0,44.2,53.2
1997,50.3,46.4,55.1
1996,52.3,48.6,56.3
1995,54.1,49.9,58.6
1994,54.1,49.9,58.9
1993,54.0,50.1,58.1
1992,55.3,52.9,57.5
1991,55.9,53.8,57.6
1990,56.8,54.2,58.8
1989,54.7,54.5,54.8
1988,52.8,51.4,54.0
1987,54.8,53.5,55.8
1986,54.8,52.4,56.5
1985,56.0,53.3,57.8
1984,58.8,58.0,59.3
1983,59.4,59.2,59.4
1982,59.9,58.6,60.6
1981,58.6,56.7,59.8
1980,59.9,56.9,61.8
1979,0.0,0.0,64.0
1978,63.9,57.5,67.7
1977,0.0,0.0,0.0
1976,0.0,0.0,0.0
1975,0.0,0.0,0.0
1974,0.0,0.0,0.0
1973,0.0,0.0,0.0
1972,0.0,0.0,0.0
1971,0.0,0.0,0.0
1970,0.0,0.0,0.0
1969,0.0,0.0,0.0
1968,0.0,0.0,0.0
1967,0.0,0.0,0.0
1966,0.0,0.0,0.0
1965,0.0,0.0,0.0
1964,0.0,0.0,0.0
1963,0.0,0.0,0.0
1962,0.0,0.0,0.0
1961,0.0,0.0,0.0
1960,0.0,0.0,0.0
1959,0.0,0.0,0.0
1958,0.0,0.0,0.0
1957,0.0,0.0,0.0
1956,0.0,0.0,0.0
1955,0.0,0.0,0.0
1954,0.0,0.0,0.0
1953,0.0,0.0,0.0
1952,0.0,0.0,0.0
1951,0.0,0.0,0.0
1950,0.0,0.0,0.0
1949,0.0,0.0,0.0
