,A020101_sj,A020102_sj,A020103_sj,A020104_sj,A020105_sj,A020106_sj
2022,1197250.4,1210207.2,88345.1,483164.5,638697.6,85698.0
2021,1141230.8,1149237.0,83216.5,451544.1,614476.4,81370.0
2020,1005451.31315167,1013567.00223068,78030.9003457103,383562.353666183,551973.748218789,71828.1484112169
2019,983751.20256033,986515.202291903,70473.5905931704,380670.620993813,535370.99070492,70077.6917901966
2018,915243.45391614,919281.129066646,64745.1561040139,364835.210382857,489700.762579774,65533.7426977278
2017,830945.699737374,832035.948559918,62099.5439820457,331580.457209411,438355.94736846,59592.2510902632
2016,742694.053654712,746395.059483517,60139.196087384,295427.803406424,390828.059989709,53782.9973903485
2015,685571.21848939,688858.218049283,57774.6412645268,281338.926740961,349744.650043795,49922.3267613586
2014,644380.151914331,643563.104543766,55626.3215706793,277282.819735223,310653.963237863,46911.718728133
2013,588141.211190155,592963.229548957,53028.0728537458,261951.613926757,277983.542768454,43496.6131824886
2012,537329.007798286,538579.953468974,49084.6359218683,244639.068544879,244856.249002227,39771.3728109773
2011,483392.794744631,487940.180525355,44781.4604971136,227035.099037269,216123.620990973,36277.1363217578
2010,410354.11014066,412119.255796083,38430.8498088599,191626.515647491,182061.890339732,30807.9326754466
2009,347934.883158655,348517.743734819,33583.8163367571,160168.81280662,154765.114591442,26179.5399647566
2008,321229.524476379,319244.612778466,32464.1374252993,149952.937321999,136827.538031168,24100.2081884314
2007,270704.017016484,270092.323718075,27674.1071835023,126630.54214043,115787.674394143,20494.3772573537
2006,219028.454456363,219438.474816681,23317.0068397922,104359.227879483,91762.2400974064,16737.9959738739
2005,185998.908708895,187318.903117653,21806.7218695091,88082.1782271696,77430.003020974,14368.0317182871
2004,161415.427771907,161840.160906841,20904.3241772054,74284.9764177714,66650.8603118641,12486.9441125584
2003,136576.250624858,137422.034917922,16970.2456702131,62695.7593256802,57756.0299220286,10666.1001954301
2002,120480.414838355,121717.424748288,16190.2282973165,54104.0860874531,51423.1103635183,9506.203119985
2001,109276.152448745,110863.123046248,15502.5019652288,49659.3758380584,45701.245242961,8716.6822381765
2000,99066.0670910177,100280.139253433,14717.3555691274,45663.6676773186,39899.1160069868,7942.0691685654
1999,89366.4824216637,90564.3757764697,14548.9753948328,41079.8771803555,34935.5232012814,7229.3322830822
1998,83817.5580261961,85195.5070896421,14618.7266755919,39017.5284099969,31559.2520040533,6859.9006461403
1997,78802.8622561225,79715.0444917825,14265.2278119685,37545.0254693158,27904.7912104982,6480.502773553
1996,70779.5925327446,71813.6295867446,13878.3326072572,33827.2667194328,24108.0302600545,5898.2078425317
1995,60356.6445966501,61339.8913366501,12020.4838347495,28676.7318937025,20642.675608198,5091.060031012
1994,48548.1606017643,48637.4503337643,9471.7945897606,22452.5359401488,16713.1198038549,4080.8879025842
1993,35599.2462781239,35673.2303581239,6887.5976797696,16472.6618682032,12312.970810151,3027.1571194226
1992,27208.2071077047,27194.5308997047,5800.2837972853,11725.0125305643,9669.2345718552,2334.3546099646
1991,22050.3441780087,22005.6284580087,5288.8475723875,9129.5621623094,7587.2187233118,1912.2359145978
1990,18923.3315872115,18872.8688272115,5017.2215997809,7744.0889357477,6111.5582916829,1662.5368400051
1989,17188.3638137849,17179.7417347849,4228.2010634655,7300.7059340441,5650.8347372753,1535.7566472789
1988,15174.3938956819,15180.3864766819,3831.1783533714,6607.1937303601,4742.0143929504,1377.9931988673
1987,12166.5921594646,12174.5946744646,3204.4628459354,5273.8326745338,3696.2991539954,1123.0813280443
1986,10375.3603097082,10376.1544537082,2764.0515441569,4515.1243754304,3096.978534121,972.6520171457
1985,9123.6456740511,9098.9480270511,2541.7326721677,3886.3720069577,2670.8433479257,865.7090145999
1984,7314.1984867825,7278.5023067825,2295.6174690225,3124.7330153791,1858.1518223809,701.9991133299
1983,6043.8027066542,6020.9241006542,1960.9019297084,2662.9718593085,1397.0503116373,588.3773344005
1982,5380.4659363207,5373.3501363207,1761.6906224007,2397.6213863384,1214.0381275816,532.7374891011
1981,4933.70209877789,4935.8328372779,1545.68474037,2269.0196967279,1121.1284001801,496.6201157355
1980,4586.07818260414,4587.5810778041,1359.4809487233,2204.6853090545,1023.4148200264,467.5313332488
1979,4100.4536715494,4100.4536715494,1258.9737185979,1925.3321023109,916.1478506407,423.1612501019
1978,3678.7025196403,3678.7025196403,1018.4641629044,1755.1134169614,905.1249397745,384.7351157635
1977,3250.0,3250.0,942.2,1517.8,790.1,344.0
1976,2988.6,2988.6,967.1,1346.0,675.6,321.0
1975,3039.5,3039.5,971.2,1378.7,689.6,332.0
1974,2827.7,2827.7,945.2,1199.8,682.7,314.0
1973,2756.2,2756.2,907.5,1180.3,668.4,313.0
1972,2552.4,2552.4,827.4,1091.6,633.3,296.0
1971,2456.9,2456.9,826.3,1029.9,600.6,292.0
1970,2279.7,2279.7,793.3,918.1,568.3,279.0
1969,1962.2,1962.2,736.2,695.0,531.0,247.0
1968,1744.1,1744.1,726.3,542.6,475.3,225.0
1967,1794.2,1794.2,714.2,608.0,472.0,238.0
1966,1888.7,1888.7,702.2,715.4,471.1,257.0
1965,1734.0,1734.0,651.1,608.5,474.4,242.0
1964,1469.9,1469.9,559.0,519.3,391.6,210.0
1963,1248.3,1248.3,497.5,412.8,337.9,183.0
1962,1162.2,1162.2,453.1,363.9,345.1,175.0
1961,1232.3,1232.3,441.1,393.5,397.7,187.0
1960,1470.1,1470.1,340.7,652.6,476.8,220.0
1959,1447.5,1447.5,383.8,616.7,447.0,217.0
1958,1312.3,1312.3,445.9,483.6,382.8,201.0
1957,1071.4,1071.4,430.0,316.6,324.8,168.0
1956,1030.7,1030.7,443.9,280.4,306.5,166.0
1955,911.6,911.6,421.0,221.5,269.1,150.0
1954,859.8,859.8,392.0,210.8,257.0,144.0
1953,824.4,824.4,378.0,191.6,254.8,142.0
1952,679.1,679.1,342.9,141.1,195.1,119.0
1951,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0,0.0,0.0
