,A040F01_sj,A040F02_sj,A040F03_sj,A040F04_sj,A040F05_sj,A040F06_sj,A040F07_sj,A040F08_sj,A040F09_sj,A040F0A_sj,A040F0B_sj,A040F0C_sj,A040F0D_sj,A040F0E_sj,A040F0F_sj
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,106837.0,110221.0,115583.0,74491.0,103182.0,109.712566364411,109.659543139128,106.890652165871,108.603294940953,111.282233798169,108.6263033311,108.6,105.8323288771,107.528014793023,110.180429503137
2020,97379.0,100512.0,108132.0,68590.0,92721.0,107.599916023027,107.63415182635,109.335787015036,109.547690538555,106.337519353174,105.180758575784,105.214224659188,106.877602165235,107.084741484413,103.946744235752
2019,90501.0,93383.0,98899.0,62612.0,87195.0,109.8139856576,110.19423204,110.5337863513,103.2111301596,109.7441254578,106.8229432467,107.1928327238,107.5231384741,100.3999320618,106.7549858539
2018,82413.0,84744.0,89474.0,60664.0,79453.0,110.9,111.3,110.306482234879,109.813007982912,111.4,108.611539067668,109.0107737512,108.037690729559,107.554366290805,109.1087169442
2017,74318.0,76121.0,81114.0,55243.0,71304.0,109.9883082479,110.3314829041,111.8227687557,109.3336236072,108.8095710427,108.161258603736,108.4872004956,109.9535582652,107.506021246,106.9907286556
2016,67569.0,68993.0,72538.0,50527.0,65531.0,108.9313063245,109.0953653484,111.0910316099,108.4107537494,107.5936689325,106.66013712047,106.8514841806,108.814887365328,106.17042115573,105.386875612145
2015,62029.0,63241.0,65296.0,46607.0,60906.0,110.058552164656,110.250867314,113.962580284837,109.042627860184,107.826856687616,108.5,108.6215441518,112.278404221514,107.431160453384,106.233356342479
2014,56360.0,57361.0,57296.0,42742.0,56485.0,109.473029932211,109.5,108.8,109.9,109.7797990399,107.2213809326,107.2477962782,106.562193927522,107.639569049951,107.5218403917
2013,51483.0,52388.0,52657.0,38905.0,51453.0,110.1,110.1,108.9,115.2,111.0,107.3099415205,107.3099415205,106.1403508772,112.2,108.1871345029
2012,46769.0,47593.0,48357.0,33784.0,46360.0,111.890236608531,112.1,111.208978221374,117.342225000868,112.189337656995,109.0,109.1696913159,108.2932174338,114.3,109.2
2011,41799.0,42452.0,43483.0,28791.0,41323.0,114.3955773283,114.2810994158,113.3580124612,119.9125364431,115.4241501634,108.6377752406,108.5290592743,107.6524334864,113.8770526526,109.6145775531
2010,36539.0,37147.0,38359.0,24010.0,35801.0,113.3,113.5,112.4,116.5,114.2,109.7868217054,109.980620155,108.9147286822,112.8875968992,110.6589147287
2009,32244.0,32736.0,34130.0,20607.0,31350.0,111.6,112.0,112.7,113.8,109.8,112.613521695257,113.017154389506,113.72351160444,114.833501513623,110.79717457114
2008,28898.0,29229.0,30287.0,18103.0,28552.0,116.9,117.2,116.0,117.2,117.6,110.700757575758,110.984848484848,109.848484848485,110.984848484848,111.363636363636
2007,24721.0,24932.0,26100.0,15444.0,24271.0,118.5,118.7,120.2,120.0,115.6,113.397129186603,113.588516746411,115.023923444976,114.832535885167,110.622009569378
2006,20856.0,21001.0,21706.0,12866.0,21004.0,114.593406593407,114.359616641255,114.374538939825,115.121689334288,114.388410848491,112.8999079738,112.669573045571,112.684274817562,113.420383580579,112.697941722652
2005,18200.0,18364.0,18978.0,11176.0,18362.0,114.3216080402,114.6,115.4028580116,114.9439473414,111.1568496882,112.5212677561,112.7952755906,113.5854901689,113.1338064383,109.4063481183
2004,15920.0,16024.0,16445.0,9723.0,16519.0,113.966640418069,114.1,114.535450619864,112.704300452069,111.29151788722,110.325886174316,110.454985479187,110.876525285444,109.103872654472,107.736222543291
2003,13969.0,14040.0,14358.0,8627.0,14843.0,112.899054392629,113.0,113.04621683332,112.977998952331,110.062286815957,111.892026157214,111.99207135778,112.037875949772,111.970266553351,109.080561760116
2002,12373.0,12422.0,12701.0,7636.0,13486.0,114.205279675097,114.3,114.993209597103,111.458181287403,108.434509930047,115.358868358684,115.454545454545,116.154757168791,112.584021502428,109.529808010149
2001,10834.0,10870.0,11045.0,6851.0,12437.0,116.082717239901,116.0,116.989725664654,109.774074667521,110.669158213205,115.275786732772,115.19364448858,116.176490233023,109.010997683735,109.899859198813
2000,9333.0,9371.0,9441.0,6241.0,11238.0,112.1889650198,112.3,111.8204429705,108.388329281,110.8065470321,111.2985764086,111.4087301587,110.9329791374,107.5281044454,109.9271299922
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
