,A040N01_sj,A040N02_sj
2022,0.0,0.0
2021,1040.0,3.96
2020,1160.0,4.24
2019,945.0,3.62
2018,974.0,3.8
2017,972.0,3.9
2016,982.0,4.02
2015,966.0,4.05
2014,952.0,4.09
2013,926.0,4.05
2012,917.0,4.1
2011,922.0,4.1
2010,908.0,4.1
2009,921.0,4.3
2008,886.0,4.2
2007,830.0,4.0
2006,847.0,4.1
2005,839.0,4.2
2004,827.0,4.2
2003,800.0,4.3
2002,770.0,4.0
2001,681.0,3.6
2000,595.0,3.1
1999,575.0,3.1
1998,571.0,3.1
1997,576.8,3.1
1996,552.8,3.0
1995,519.6,2.9
1994,476.4,2.8
1993,420.1,2.6
1992,363.9,2.3
1991,352.2,2.3
1990,383.2,2.5
1989,377.9,2.6
1988,296.2,2.0
1987,276.6,2.0
1986,264.4,2.0
1985,238.5,1.8
1984,235.7,1.9
1983,271.4,2.3
1982,379.4,3.2
1981,439.5,3.8
1980,541.5,4.9
1979,567.6,5.4
1978,530.0,5.3
1977,0.0,0.0
1976,0.0,0.0
1975,0.0,0.0
1974,0.0,0.0
1973,0.0,0.0
1972,0.0,0.0
1971,0.0,0.0
1970,0.0,0.0
1969,0.0,0.0
1968,0.0,0.0
1967,0.0,0.0
1966,0.0,0.0
1965,0.0,0.0
1964,0.0,0.0
1963,0.0,0.0
1962,0.0,0.0
1961,0.0,0.0
1960,0.0,0.0
1959,0.0,0.0
1958,0.0,0.0
1957,0.0,0.0
1956,0.0,0.0
1955,0.0,0.0
1954,0.0,0.0
1953,0.0,0.0
1952,0.0,0.0
1951,0.0,0.0
1950,0.0,0.0
1949,0.0,0.0
