,A060101_sj,A060102_sj,A060103_sj,A060104_sj,A060105_sj,A060106_sj,A060107_sj,A060108_sj,A060109_sj,A06010A_sj,A06010B_sj,A06010C_sj,A06010D_sj,A06010E_sj,A06010F_sj,A06010G_sj,A06010H_sj,A06010I_sj,A06010J_sj,A06010K_sj,A06010L_sj,A06010M_sj,A06010N_sj,A06010O_sj,A06010P_sj,A06010Q_sj,A06010R_sj,A06010S_sj,A06010T_sj,A06010U_sj,A06010V_sj,A06010W_sj
202303,25973.7239,-5.8,0.0,0.0,19767.031,-4.1,3560.9209,-7.5,3064.1346,0.3,0.0,0.0,1031.2315,-11.5,1927.9718,-17.1,3247.4896,-6.2,15248.8983,-10.6,929.6181,-4.5,212.8668,-12.8,9582.3407,3.1,8173.3338,4.6,934873.3053,0.9,11554.3817,28.0
202302,13669.2486,-5.7,0.0,0.0,10272.5989,-4.6,1886.9142,-11.7,1612.9527,3.1,0.0,0.0,614.3127,-7.6,1031.3914,-17.0,1750.9456,-4.0,8403.9613,-13.1,510.4384,-5.4,120.0123,-10.2,4634.8366,11.6,3976.585,16.4,919683.3189,2.1,7845.8153,16.6
202301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202212,132895.4113,-10.0,0.0,0.0,100646.3787,-9.5,18147.0946,-11.8,15254.22,-11.9,0.0,0.0,5290.7711,-11.4,10647.359,-14.4,16310.9025,-9.4,79311.1814,-10.8,4610.2431,-13.6,1181.7397,-11.2,47792.2471,-8.1,41030.0123,-5.7,1025462.3688,-0.8,43302.5352,-13.6
202211,123863.0006,-9.8,0.0,0.0,94015.8823,-9.2,16861.9508,-11.9,14285.6741,-11.2,0.0,0.0,4825.7059,-11.3,9845.1316,-14.5,15176.2808,-9.5,73052.5807,-10.3,4246.0878,-12.7,1097.2159,-8.4,45467.1162,-8.7,39551.5768,-6.3,1016015.7594,-0.2,28623.5928,-15.2
202210,113945.3017,-8.8,0.0,0.0,86519.6086,-8.3,15527.0578,-10.8,13060.2629,-10.6,0.0,0.0,4402.7216,-10.3,9079.3586,-13.5,13943.6129,-8.3,66904.6416,-9.3,3890.9643,-11.5,1019.8517,-3.7,42129.8441,-7.8,36653.1651,-5.7,1006366.4696,0.7,24494.4618,-12.9
202209,103558.5404,-8.0,0.0,0.0,78556.0457,-7.5,14147.6356,-10.0,11837.6498,-9.9,0.0,0.0,4005.6039,-9.9,8276.4307,-12.2,12720.4601,-7.8,60770.7411,-8.5,3518.5368,-11.3,947.754,0.5,38321.5085,-7.1,33311.7316,-5.0,997217.8641,1.1,21700.7566,-14.1
202208,90808.8576,-7.4,0.0,0.0,68877.8049,-6.9,12418.5251,-9.6,10304.7174,-9.9,0.0,0.0,3495.9071,-10.1,7267.7446,-11.6,11167.401,-6.7,53316.3374,-7.9,3087.2047,-11.3,807.3429,0.3,33597.9726,-6.4,29315.3857,-4.5,988038.5629,2.0,19180.5798,-18.0
202207,79462.3902,-6.4,0.0,0.0,60237.6907,-5.8,10853.8836,-9.5,8990.5718,-8.8,0.0,0.0,3035.242,-10.3,6408.2011,-10.2,9781.2564,-5.9,46699.704,-6.6,2682.8665,-11.1,693.6661,0.0,29386.1536,-5.7,25555.8772,-4.0,978918.3547,2.4,16719.1314,-21.1
202206,68314.2075,-5.4,0.0,0.0,51804.496,-4.5,9327.6236,-8.4,7708.3244,-8.2,0.0,0.0,2616.267,-10.1,5528.2296,-8.7,8365.2149,-6.8,40297.7789,-5.1,2303.8182,-10.0,595.7825,4.6,25116.8279,-5.5,21720.5122,-4.6,969090.1829,3.2,15115.0333,-18.8
202205,52133.617,-4.0,0.0,0.0,39521.2403,-3.0,7141.1182,-5.8,5849.2722,-8.1,0.0,0.0,2000.3646,-9.4,4269.7725,-7.0,6342.2396,-6.3,31035.4041,-2.4,1765.0162,-9.7,443.1197,1.2,18890.077,-6.2,16389.7613,-6.3,954757.101,5.4,12425.18,-11.6
202204,39154.3128,-2.7,0.0,0.0,29527.2715,-2.1,5401.2592,-4.1,4329.459,-7.6,0.0,0.0,1554.4873,-8.2,3259.1936,-5.3,4813.3604,-2.6,23564.9503,-1.5,1368.446,-9.0,341.0286,-2.2,13879.8879,-4.1,11892.4404,-3.8,940632.5271,6.2,10615.3276,-9.3
202203,27764.9515,0.7,0.0,0.0,20761.2592,0.7,3883.8829,1.1,3076.5114,-5.9,0.0,0.0,1171.7761,-1.6,2347.3523,-2.1,3484.5639,3.6,17198.2,1.6,984.4349,-10.1,246.6142,-2.8,9335.7024,0.5,7852.8153,0.6,926430.4298,7.2,9026.1343,-10.6
202202,14499.3761,3.7,0.0,0.0,10768.8743,3.7,2137.8926,9.1,1564.3859,-6.5,0.0,0.0,664.9419,-1.5,1242.0897,-0.7,1823.4702,9.1,9674.8979,2.0,539.3753,-12.2,133.7051,-4.3,4151.3978,10.9,3417.0218,11.3,900607.7197,7.5,6729.5475,-5.6
202201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202112,147602.0767,4.4,0.0,0.0,111173.0,6.4,20566.5013,0.6,17322.5427,4.5,0.0,0.0,5973.8974,-8.0,12444.7642,-4.8,18010.4151,3.3,88910.2856,8.6,5336.0787,-8.8,1331.0734,-7.8,52024.639,-0.4,43504.6847,-2.1,1033431.0018,8.9,50091.0297,16.6
202111,137313.9585,6.0,0.0,0.0,103587.4765,8.1,19148.668,2.5,16088.212,5.5,0.0,0.0,5437.7174,-6.1,11520.1683,-3.1,16768.5963,4.9,81463.6842,10.5,4861.4882,-8.0,1197.24,-9.7,49791.5461,1.3,42225.2167,-0.6,1017745.5598,9.6,33742.3642,20.4
202110,124933.6196,7.2,0.0,0.0,94326.6302,9.3,17408.3318,3.3,14605.2532,6.4,0.0,0.0,4907.76,-4.9,10492.0935,-1.8,15207.1359,5.5,73776.2949,11.8,4397.1927,-7.6,1059.5234,-12.1,45700.6086,2.4,38868.4252,0.4,999756.4122,10.3,28134.748,20.8
202109,112568.069,8.8,0.0,0.0,84905.5641,10.9,15718.7287,4.6,13142.0877,8.3,0.0,0.0,4446.2923,-0.5,9422.8265,-1.3,13793.3861,6.9,66398.0874,13.9,3968.5739,-6.1,942.7724,-11.9,41258.6353,3.5,35083.1269,1.1,986471.05,10.9,25269.2591,27.8
202108,98059.7263,10.9,0.0,0.0,73971.1317,13.0,13742.9591,6.9,11431.7703,9.0,0.0,0.0,3890.1252,1.8,8225.827,0.2,11972.6424,9.1,57863.5708,16.3,3478.8651,-4.5,805.2338,-13.0,35912.0566,5.2,30704.4519,2.9,968945.4581,11.5,23393.5154,31.7
202107,84895.4072,12.7,0.0,0.0,63980.2832,14.9,11996.6113,9.1,9857.2553,10.4,0.0,0.0,3383.3989,3.7,7133.2974,2.0,10398.4277,10.7,50024.6085,18.8,3017.2372,-2.7,693.9982,-13.2,31159.5633,6.3,26617.493,4.0,955666.4528,12.3,21181.6338,32.4
