,A070101_sj,A070102_sj,A070103_sj,A070104_sj,A070105_sj,A070106_sj,A070107_sj,A070108_sj
202303,37855.4,114922.4,10.6,5.8,15459.1,43691.3,10.1,4.8
202302,0.0,77067.0,0.0,3.5,0.0,28485.8,0.0,2.1
202301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202212,40542.3,439732.5,-1.8,-0.2,17070.7,170903.3,-1.3,1.4
202211,38615.1,399190.2,-5.9,-0.1,15606.6,153895.3,-5.8,1.7
202210,40270.5,360575.1,-0.5,0.6,14290.6,138115.8,-0.5,2.6
202209,37744.9,320304.6,2.5,0.7,15234.4,123844.7,6.1,3.0
202208,36257.9,282559.7,5.4,0.5,14017.9,108653.1,9.3,2.6
202207,35870.1,246301.8,2.7,-0.2,13737.1,94749.6,6.8,1.7
202206,38742.5,210431.7,3.1,-0.7,16540.6,81231.2,8.1,0.8
202205,33547.0,171689.3,-6.7,-1.5,12713.0,64614.0,-6.5,-0.9
202204,29483.1,138142.2,-11.1,-0.2,11012.0,51586.5,-14.0,0.6
202203,34233.1,108659.1,-3.5254115369,3.2676856817,13630.7,40600.2,-1.3706088185,5.3991323504
202202,0.0,74426.0,0.0,6.7,0.0,27229.6,0.0,9.1
202201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202112,41268.9,440823.2,1.7,12.5,16703.2,164148.1,1.6,13.4
202111,41043.2,399554.3,3.9,13.7,16030.8,147515.5,4.2,14.9
202110,40453.9,358511.1,4.9,14.9,13866.7,131281.0,4.6,16.4
202109,36833.0,318057.2,4.4,16.4,13902.0,117587.9,2.8,17.9
202108,34394.9,281224.2,2.5,18.1,12342.5,103568.4,0.5,20.3
202107,34925.1,246829.4,8.5,20.7,12425.2,91259.5,8.5,23.6
202106,37585.8,211904.3,12.1,23.0,14890.7,78939.3,13.2,26.4
202105,35945.1,174318.5,12.4,25.7,13214.4,63974.4,12.7,29.9
202104,33152.6,138373.4,17.7,29.6,12592.4,50752.8,18.5,35.3
202103,35484.1,105220.8,34.2,33.9,13699.7,38140.0,38.6,42.0
202102,0.0,69736.8,0.0,33.8,0.0,24374.5,0.0,43.9
202101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202012,40566.0,391980.6,4.6,-3.9,16300.8,143322.9,6.4,-1.9
202011,39514.2,351414.7,5.0,-4.8,15190.3,127123.6,8.3,-2.8
202010,38576.5,311900.5,4.3,-5.9,13095.0,111887.7,7.1,-4.2
202009,35294.7,273324.0,3.3,-7.2,13376.4,98573.5,5.3,-5.5
202008,33570.6,238029.4,0.5,-8.6,12136.1,85316.9,4.4,-7.0
202007,32202.5,204458.7,-1.1,-9.9,11351.3,73332.1,2.2,-8.6
202006,33525.9,172256.2,-1.8,-11.4,13106.9,62374.8,-0.4,-10.3
202005,31972.8,138730.3,-2.8,-13.5,11664.2,49317.2,1.3,-12.7
202004,28177.8,106757.5,-7.5,-16.2,10588.3,37607.7,-3.2,-16.3
202003,26449.9,78579.7,-15.8,-19.0,9984.3,27049.1,-15.0,-20.5
202002,0.0,52129.8,0.0,-20.5,0.0,16949.8,0.0,-23.4
202001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201912,38776.7,411649.0,8.0,8.0,15337.6,148009.9,4.4,3.9
201911,38093.8,372872.3,8.0,8.0,13964.7,132639.1,4.4,3.9
201910,38104.3,334778.5,7.2,8.1,12322.1,118918.8,1.2,3.8
201909,34494.9,296674.2,7.8,8.2,12835.4,106691.9,3.1,4.1
201908,33896.3,262179.3,7.5,8.2,11772.1,93880.9,2.0,4.3
201907,33073.3,228282.9,7.6,8.3,11412.1,82446.2,2.9,4.6
201906,33878.1,195209.7,9.8,8.4,13163.4,71124.2,9.7,4.9
201905,32955.7,161331.6,8.6,8.1,11693.8,57924.0,5.1,3.9
201904,30586.1,128375.8,7.2,8.0,11120.1,46211.9,2.0,3.5
201903,31725.7,97789.7,8.7,8.3,11952.5,35078.2,5.1,4.1
201902,0.0,66064.0,0.0,8.2,0.0,23096.0,0.0,3.5
201901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201812,35893.4983358266,380986.852172768,8.1608136072,8.9817494074,15084.00712,145311.28732,2.4369192371,5.7054764073
201811,35259.7,345093.4,8.1,9.1,13678.7,130829.9,2.1,6.1
201810,35534.4,309833.7,8.6,9.2,12478.6,117177.5,3.7,6.6
201809,32005.4,274299.3,9.2,9.3,12761.7,104792.1,5.7,6.9
201808,31542.3,242293.9,9.0,9.3,11832.2,92367.7,6.0,7.1
201807,30733.7,210751.6,8.8,9.3,11419.0,81125.2,5.7,7.3
201806,30841.6,180017.9,9.0,9.4,12448.3,69937.6,6.5,7.5
